Title,Genre(s),Developer(s),Publisher(s)
Null Drifter,Shoot 'em up,Panda Indie Studio,EastAsiaSoft
Numantia,Turn-based strategy,Reco Technology,Reco Technology
Obduction,"Adventure, puzzle",Cyan Worlds,Cyan Worlds
Obliteracers,Vehicular combat,Space Dust Studios,Space Dust Studios
Observation,Adventurehorrorpuzzle,No Code,Devolver Digital
Observer,Horror,Bloober Team,Aspyr
Occultic;Nine,Visual novel,5pb.,Mages
Oceanhorn: Monster of Uncharted Seas,Adventure,Cornfox & Bros.Engine Software,FDG Entertainment
Octodad: Dadliest Catch,"Simulation, strategy",Young Horses,Young Horses
Odallus: The Dark Call,Actionplatform,Joymasher,Digerati
Oddworld: New 'n' Tasty!,Actionplatform,Just Add Water,Oddworld Inhabitants
Odin Sphere: Leifthrasir,Action role-playing,Vanillaware,Atlus
The Office Quest,Point & click adventure,11 Sheep,11 Sheep
Oh! Edo Towns,Simulation,Kairosoft,Kairosoft
Oh My Godheads,Fighting,Titutitech,Square Enix
OK K.O.! Let's Play Heroes,Action,Capybara Games,Cartoon Network
Ōkami HD,Action-adventure,Capcom,Capcom
OkunoKA Madness,Platform,Caracal Games,Ignition
Old Man's Journey,Adventurepuzzle,Broken Rules,Broken Rules
OlliOlli,Sportsside-scroller,Roll7,Roll7
OlliOlli2: Welcome to Olliwood,Sportsside-scroller,Roll7,Roll7
Olija,Action-adventure,Skeleton Crew Studio,Devolver Digital
Olympic Games Tokyo 2020 - The Official Video Game,Sports,Sega,Sega
Omega Quintet,Role-playing,Compile Heart,Compile Heart
Omensight,Action role-playing,Spearhead Games,Spearhead Games
OMORI,Role-playing,OMOCAT,Playism
One Finger Death Punch 2,Brawler,Silver Dollar Games,EastAsiaSoft
Onechanbara Origin,Actionhack and slash,Tamsoft,D3 Publisher
Onechanbara Z2: Chaos,Actionhack and slash,Tamsoft,D3 Publisher
One More Dungeon,Role-playing,Ratalaika Games,Ratalaika Games
One Night Stand,Visual novel,Kinmoku,Ratalaika Games
One Piece: Burning Blood,Fighting,Spike Chunsoft,Bandai Namco Entertainment
One Piece: Pirate Warriors 3,Action,Koei Tecmo,Bandai Namco Entertainment
One Piece: Pirate Warriors 4,Platform,Omega ForceKoei Tecmo,Bandai Namco Entertainment
One Piece: Unlimited World Red Deluxe Edition,Action-adventure,Tecmo Koei,Bandai Namco Entertainment
One Piece: World Seeker,Action-adventure,Ganbarion,Bandai Namco Entertainment
One-Punch Man: A Hero Nobody Knows,Fighting,Spike Chunsoft,Bandai Namco
One Step From Eden,Strategyroguelike,Thomas Moon Kang,Humble Bundle
One Upon Light,Puzzle,SUTD Game Lab,Rising Star Games
Oniken,Actionplatform,Joymasher,Digerati
Onimusha: Warlords,Action-adventure,Capcom,Capcom
Oninaki,Action role-playing,Tokyo RPG Factory,Square Enix
Onirike,Platform,Devilish Games,Badland Publishing
Onrush,Racing,Codemasters,Codemasters
Open Roads,Mystery-thriller,Fullbright,Annapurna Interactive
Operencia: The Stolen Sun,Role-playing,Zen Studios,Zen Studios
Orangeblood,Role-playing,Grayfax Software,Playism
Ord.,Adventure,Mujo Games,Ratalaika Games
The Order: 1886,Third-person shooter,Ready at DawnSanta Monica Studio,Sony Computer Entertainment
Organ Trail,"Simulation, survival",The Men Who Wear Many Hats,The Men Who Wear Many Hats
Organic Panic,Platformstrategy,Last Limb,Last Limb
The Origin: Blind Maid,Survival horror,Warani Studios,Badland Publishing
The Oriental Exorcist,2Dactionside-scroller,Wildfire Games,Bilibili
Othercide,Tactical role-playing,Lightbulb Crew,Focus Home Interactive
Oure,Adventure,Heavy Spectrum,Heavy Spectrum
Our World is Ended,Visual novel,Red Entertainment,JP: MagesWW: PQube
Out Of Space: Couch Edition,Strategyparty,Behold Studios,Plug In Digital
Outer Wilds,First-person adventure,Mobius Digital,Annapurna Interactive
The Outer Worlds,Action role-playing,Obsidian Entertainment,Private Division
Outlast,Survival horror,Red Barrels Studio,Red Barrels Studio
Outlast 2,Survival horror,Red Barrels Studio,Red Barrels Studio
Outriders,Third-person shooter,People Can Fly,Square Enix
Outward: The Adventurer Life Sim,Role-playing,Nine Dots Studio,Koch Media
Overcooked,"Party, puzzle",Ghost Town Games,Team17
Overcooked 2,"Party, puzzle",Ghost Town Games,Team17
Overland,Turn-based tacticssurvival,FinjiDeep Plaid Games,Finji
Overload,First-person shooter,Revival Productions,Revival Productions
Overlord: Fellowship of Evil,Action role-playing,Codemasters,Codemasters
Override: Mech City Brawl,Beat 'em up,"The Balance, Inc",JP: 3gooWW: Modus Games
Override 2: Super Mech League,Beat 'em up,Modus Studios Brazil,Modus Games
Overruled!,Brawler,Dlala Studios,Team17
Overwatch,First-person shooter,Blizzard Entertainment,Blizzard Entertainment
Overwatch 2,First-person shooter,Blizzard Entertainment,Blizzard Entertainment
Ovivo,Platform,Izhard,Sometimes You
Owlboy,Platform-adventure,D-Pad Studio,D-Pad Studio
Oxenfree,Adventure,Night School Studio,Night School Studio
Oxenfree II: Lost Signals,Adventure,Night School Studio,MWM Interactive
Pacer,Racing,R8 Games,R8 Games
Pac-Man 256,Arcade,Hipster Whale,Bandai Namco Entertainment
Pac-Man Championship Edition 2,Arcade,Bandai Namco Entertainment,Bandai Namco Entertainment
Panorama Cotton,Shoot 'em up,Success,JP: SunsoftWW: ININ Games
Panda Hero,Platform,Markt & Technik,Markt & Technik
Pang Adventures,Platformpuzzle,Pastagames,DotEmu
Pankapu,Adventureplatform,Too Kind Studio,Plug In Digital
Panzer Dragoon: Remake,Rail shooter,MegaPixel Studio,Forever Entertainment
Papa's Quiz,Party,Old Apes,Old Apes
Paper Beast,Adventure,Pixel Reef,Pixel Reef
Paradise Lost,Adventure,PolyAmorous,All in! Games
Paranautical Activity,Platformpuzzle,CodeAvarice,Digerati
Paranoia: Happiness is Mandatory,Role-playing,Black ShamrockCyanide Studio,Bigben Interactive
PaRappa the Rapper Remastered,Rhythm,NanaOn-Sha,Sony Interactive Entertainment
Parfait Remake,Visual novel,GigaDai,Entergram
The Park,Horror,Funcom,Funcom
Party Animals,Party,Recreate Games,Recreate Games
Party Crashers,Racing,Giant Margarita,Giant Margarita
Party Crasher Simulator,Simulation,Glob Games Studio,Glob Games Studio
Party Golf,Party,Giant Margarita,Giant Margarita
Party Hard,Actionstealth,Pinokl Games,TinyBuild
Party Hard 2,Actionstealth,Pinokl Games,TinyBuild
Party Panic,Party,Everglow Interactive,Everglow Interactive
Patapon Remastered,Rhythmgod game,Japan Studio,Sony Interactive Entertainment
Patapon 2 Remastered,Rhythmgod game,Japan Studio,Sony Interactive Entertainment
Pathfinder: Kingmaker,Role-playing,Owlcat Games,Deep Silver
The Pathless,Action-adventure,Giant Squid,Annapurna Interactive
Path of Sin: Greed,Puzzlehidden object,Cordelia Games,Artifex Mundi
Pathologic,Adventuresurvival,Ice-Pick Lodge,Ice-Pick Lodge
Pato Box,Actionsports,Bromio,Bromio
Paw Paw Paw,Action-adventure,Simpleton,Ratalaika Games
PAW Patrol: On a Roll,Platform,Torus Games,Outright Games
PAW Patrol Mighty Pups: Save Adventure Bay,Action-adventure,Drakhar Studio,Outright Games
Pawarumi,Shoot 'em up,Manufacture 43,Manufacture 43
Payday 2: Crimewave Edition,First-person shooter,Overkill Software,505 Games
PC Building Simulator,Simulation,"Claudiu Kiss, TIC",The Irregular Corporation
Peaky Blinders: Mastermind,Action-adventure,FuturLab,Curve Digital
The Peanuts Movie: Snoopy's Grand Adventure,Platform,Beenox,Activision
The Pedestrian,Puzzle-platform,Skookum Arts,Skookum Arts
Peggle 2,Puzzle,PopCap Games,Electronic Arts
Penarium,Platform,Self Made Miracle,Team17
Penguin Wars,Action,City Connection,City Connection
Perception,Adventurehorror,Deep End Games,Feardemic
Perfect Universe,Actionpuzzle,Will Sykes Games,Will Sykes Games
Persian Nights: Sands of Wonders,Puzzlehidden object,SoDigital,Artifex Mundi
Persian Nights 2: Moonlight Veil,Puzzlehidden object,SoDigital,Artifex Mundi
The Persistence,First-person shooter,Firesprite,Firesprite
Persona 3: Dancing Moon Night,Rhythm,P-Studio,Atlus
Persona 4 Arena Ultimax,Fighting,Arc System WorksP-Studio,Atlas
Persona 4: Dancing All Night,Rhythm,P-Studio,Atlus
Persona 5,Role-playing,P-Studio,Atlus
Persona 5: Dancing Star Night,Rhythm,P-Studio,Atlus
Persona 5 Royal,Role-playing,P-Studio,Atlus
Persona 5 Strikers,Action role-playing,Omega ForceP-Studio,JP: AtlusWW: Koei Tecmo
Petal Crash,Puzzle,Friend & Fairy,GalaxyTrail
PGA Tour 2K21,Sports,HB Studios,2K Games
Phantom Breaker: Battle Grounds Overdrive,Beat 'em up,5pb.,5pb.
Phantom Breaker: Omnia,Fighting,GameLoopMages,Rocket Panda Games
Phantom Doctrine,Turn-based strategy,CreativeForge Games,Good Shepherd Entertainment
Phantom Trigger,Role-playing,Bread Team,tinyBuild
Phar Lap - Horse Racing Challenge,Racingsimulation,PikPok,Home Entertainment Suppliers
Pharaonic,Action role-playing,Milkstone Studios,Milkstone Studios
Phoenix Point,Strategyturn-based tactics,Snapshot Games,Snapshot Games
Phoenix Wright: Ace Attorney Trilogy,Visual novel,Capcom,Capcom
Phogs!,Adventurepuzzle-platform,Bit Loom Games,Coatsink
Pic-a-Pix Classic,Nonogrampuzzle,Lightwood Games,Lightwood Games
Pic-a-Pix Classic 2,Nonogrampuzzle,Lightwood Games,Lightwood Games
Pic-a-Pix Color,Nonogrampuzzle,Lightwood Games,Lightwood Games
Pic-a-Pix Color 2,Nonogrampuzzle,Lightwood Games,Lightwood Games
Pic-a-Pix Pieces,Nonogrampuzzle,Lightwood Games,JP: Rainy FrogWW: Lightwood Games
Pic-a-Pix Pieces 2,Nonogrampuzzle,Lightwood Games,Lightwood Games
Pier Solar and the Great Architects,Role-playing,WaterMelon,WaterMelon
Pig Eat Ball,Arcadepuzzle,Mommy's Best Games,Mommy's Best Games
Pillar,Puzzle,MichaelArts,MichaelArts
Pillars of Eternity,Role-playing,Obsidian Entertainment,Paradox Interactive
Pillars of Eternity II: Deadfire,Role-playing,Obsidian Entertainment,THQ Nordic
The Pillars of the Earth,Adventure,Daedalic Entertainment,Daedalic Entertainment
Pinstripe,Adventurepuzzle,Atmos Games,Armor Games
PixArk,Survival,Snail Games,Snail Games
Pix the Cat,Arcade,Pasta Games,Pasta Games
Pixel Piracy,Role-playing,Abstraction Games505 Games,Re-Logic
PixelJunk Monsters 2,Tower defense,Q-Games,Spike Chunsoft
PixelJunk Shooter Ultimate,Shooter,Double ElevenQ-Games,Sony Computer Entertainment
Pixel Noir,Role-playing,SWDTech Games,SWDTech Games
Plague Inc: Evolved,Strategy,Ndemic Creations,Ndemic Creations
Planescape: Torment: Enhanced Edition,Role-playing,Beamdog,Skybound Games
Planet 2000,Action,Bionic Pony,Bionic Pony
Planet Coaster: Console Edition,Construction and management simulation,Frontier Developments,Frontier Developments
Planet of the Apes: Last Frontier,Interactive fiction,The Imaginati Studios,FoxNext
Plants vs Zombies: Battle for Neighborville,Third-person shooter,PopCap Games,Electronic Arts
Plants vs. Zombies: Garden Warfare,Third-person shooter,PopCap Games,Electronic Arts
Plants vs. Zombies: Garden Warfare 2,Third-person shooter,PopCap Games,Electronic Arts
PlayerUnknown's Battlegrounds,Battle royale,Bluehole,Bluehole
Plumbers Don't Wear Ties,Visual novel,United Pixtures,Limited Run Games
Pneuma: Breath of Life,Puzzle,Deco Digital,Deco Digital
Pocket Academy,Simulation,Kairosoft,Kairosoft
Pocket Clothier,Simulation,Kairosoft,Kairosoft
Pocket God vs Desert Ashes,Turn-based strategy,Bolt Creative,Nine-Tales Digital
Pocket League Story,Simulation,Kairosoft,Kairosoft
Pocket Stables,Simulation,Kairosoft,Kairosoft
Pocky & Rocky Reshrined,Shoot 'em up,Natsume Atari,Natsume
Pode,Adventure,Henchman & Goon,Altered Ventures
Poi,3D platform,PolyKid,PolyKid
Poison Control,Action role-playing,Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America
Poker Club,Card & board,Ripstone,Ripstone
Polarity: Ultimate Edition,Puzzle,Bluebutton,Bluebutton
Police Stories,Top-down shooter,Mighty Morgan,HypeTrain Digital
Polybius,Shoot 'em up,Llamasoft,Llamasoft
Ponpu,Action,Purple Tree Studio,Zordix Publishing
Pool Nation,Sports,Cherry Pop Games,Cherry Pop Games
Pool Slide Story,Business simulation,Kairosoft,Kairosoft
Poop Slinger,Casual,Diggity.net,Diggitynet
Portal Knights,Role-playing,Keen Games,505 Games
Port Royale 4,Business simulationstrategy,Gaming Minds,Kalypso Media
Postal Redux,Shoot 'em up,Running with Scissors,MD Games
Potata,Action-adventure,Potata Company,Sometimes You
Potion Permit,Role-playing,MassHive Media,PQube
Power Rangers: Battle for the Grid,Beat 'em upfighting,nWay Games,Lionsgate Games
Praetorians - HD Remaster,Real-time strategy,Torus Games,Kalypso Media
Praey for the Gods,Action-adventure,No Matter Studios,No Matter Studios
Predator: Hunting Grounds,First-person shooter,IllFonic20th Century Fox,Sony Interactive Entertainment
Pressure Overdrive,Vehicular combat,Chasing Carrots,Chasing Carrots
Prey,First-person shooter,Arkane Studios,Bethesda Softworks
Primal Carnage: Extinction,First-person shooter,Panic Button,Circle 5 Studios
Prince of Persia: The Sands of Time Remake,Action-adventurehack and slash,Ubisoft PuneUbisoft Munbai,Ubisoft
Princess Crown,Action role-playing,Atlus,Atlus
Prismatic Solid,Shoot 'em up,Yo1 Komori Games,Playism
Prison Architect,Simulation,Double Eleven,Introversion Software
Pro Evolution Soccer 2015,Sports,PES Productions,Konami
Pro Evolution Soccer 2016,Sports,PES Productions,Konami
Pro Evolution Soccer 2017,Sports,PES Productions,Konami
Pro Evolution Soccer 2018,Sports,PES Productions,Konami
Pro Evolution Soccer 2019,Sports,PES Productions,Konami
Pro Fishing Simulator,Sports,Sanuk Games,Bigben Interactive
Pro Yakyū Spirits 2019,Sports,Konami,Konami
The Procession to Calvary,Point-and-click adventure,Joe Richardson,Digerati
Professional Farmer 2017,Simulation,Visual Imagination,United Independent Entertainment
Professor Rubik's Brain Fitness,Puzzle,Magic Pockets,Microids
Project Awakening,Action,Cygames Osaka,Cygames
Project Cars,Racingsimulation,Slightly Mad Studios,Bandai Namco Entertainment
Project Cars 2,Racingsimulation,Slightly Mad Studios,Bandai Namco Entertainment
Project Cars 3,Racingsimulation,Slightly Mad Studios,Bandai Namco Entertainment
Project Dunk,Sports,Giant Games,Giant Games
Project Highrise: Architect's Edition,Simulation,Somasim,Kalypso Media
Project Nimbus: Code Mirai,Actionmech,GameTomo,Kiss
Project Phoenix,Real-time strategy,Creative Intelligence Arts,Creative Intelligence Arts
Project Sakura Wars,Role-playing,Sega,Sega
Project Warlock,First-person shooter,Buckshot Software,Crunching Koalas
Project Witchstone,Role-playingsandbox,Spearhead Games,Spearhead Games
Projection: First Light,Puzzle-platform,Shadowplay Studios,Blowfish Studios
Prototype,Action-adventure,Radical Entertainment,Activision
Prototype 2,Action-adventure,Radical Entertainment,Activision
Psikyo Shooting Collection,Arcadeshoot 'em up,Zerodiv,City Connection
Psycho-Pass: Mandatory Happiness,Visual novel,Nitroplus,5pb.
Psychonauts 2,Platform,Double Fine Productions,Xbox Game Studios
Psyvariar Delta,Shoot 'em up,City Connection,JP: City ConnectionNA: Dispatch Games
Puchitto Cluster,Actionpuzzle,Ullucus Heaven,Ullucus Heaven
Puddle,Puzzle,Neko Entertainment,Konami
Pumped BMX +,Sports,Yeah Us / Curve Digital,Curve Digital
Pumpkin Jack,Platform,Nicolas Meyssonnier,Headup Games
Punch Club,Beat 'em up,Lazy Bear Games,TinyBuild
Punch Line,Adventure,5pb.,JP: 5pb.WW: PQube
Pure Chess,Chess,VooFoo Studios,VooFoo Studios
Pure Farming 2018,Simulation,Ice Flames,Techland
Pure Hold'em,Card game,VooFoo Studios,VooFoo Studios
Pure Pool,Sports,VooFoo Studios,Ripstone
Push Me Pull You,Party,House House,House House
Putty Squad,Platform,System 3,System 3
Puyo Puyo Champions,Puzzle,Sonic Team,Sega
Puyo Puyo Tetris,Puzzle,Sonic Team,Sega
Puyo Puyo Tetris 2,Puzzle,Sonic Team,Sega
Puzzle by Nikoli 4: Akari,Puzzle,Hamster,Hamster
Puzzle by Nikoli 4: Hashiwokakero,Puzzle,Hamster,Hamster
Puzzle by Nikoli 4: Heyawake,Puzzle,Hamster,Hamster
Puzzle by Nikoli 4: Kakuro,Puzzle,Hamster,Hamster
Puzzle by Nikoli 4: Masyu,Puzzle,Hamster,Hamster
Puzzle by Nikoli 4: Nurikabe,Puzzle,Hamster,Hamster
Puzzle by Nikoli 4: Slitherlink,Puzzle,Hamster,Hamster
The Pyraplex,Simulation,Kairosoft,Kairosoft
Pyre,Role-playing,Supergiant Games,Supergiant Games
Q*bert Rebooted,Platformpuzzle,Loot Interactive,Loot Interactive
Quantum Error,First-person shooter,TeamKill Media,TeamKill Media
Quantum Replica,Stealthaction,ON3D Studios,PQube
Q.U.B.E. Director's Cut,Puzzle,Grip Games,Grip Games
Q.U.B.E. 2,Puzzle,Toxic Games,Toxic Games
Queen's Quest 2: Stories of Forgotten Past,Puzzlehidden object,Brave Giant,Artifex Mundi
Queen's Quest 3: The End of Dawn,Puzzlehidden object,Brave Giant,Artifex Mundi
Queen's Quest 4: Sacred Truce,Puzzlehidden object,Brave Giant,Artifex Mundi
Quest of Dungeons,"Turn-based, roguelike",Upfall Studios,Upfall Studios
Quiplash,Partytrivia,Jackbox Games,Jackbox Games
Quiplash 2,Partytrivia,Jackbox Games,Jackbox Games
R-Type Dimensions EX,Shoot 'em up,Irem,Tozai Games
R-Type Final 2,Shoot 'em up,Granzella,JP: GranzellaWW: NIS America
Rabbids Invasion,Action,Ubisoft Barcelona,Ubisoft
Rabi-Ribi,2D platform,CreSpirit,Sekai Project
Race Arcade,Racing,Iceflake Studio,Iceflake Studio
Race the Sun,Racing,Flippfly,Flippfly
Rad,"Action, rougelike",Double Fine,Bandai Namco Entertainment
Rad Rodgers,Actionplatform,Slipgate Studios,THQ Nordic
Radial-G: Racing Revolved,Racing,Tammeka,Tammeka
Rage 2,First-person shooter,Avalanche Studios,Bethesda Softworks
Rage of the Dragons,Fighting,QUByte Entertainment,QUByte Entertainment
Raging Loop,Visual novel,Kemco,JP: KemcoWW: PQube
Raiden V: Director's Cut,Shoot 'em up,Moss,UFO Interactive Games
Raiders of the Broken Planet,Action-adventure,MercurySteam,MercurySteam
Raid: World War II,Tactical shooter,Lion Game Lion,Starbreeze
Railway Empire,Simulation,Gaming Minds Studios,Kalypso Media
Rainbow Billy: The Curse of the Leviathan,Platform,ManaVoid Entertainment,Skybound Games
Rainbow Moon,Tactical role-playing,SideQuest Studios,EastAsiaSoft
Rainbow Skies,Tactical role-playing,SideQuest Studios,EastAsiaSoft
Rain City,Adventure,Prism Plus,Prism Plus
Rain World,Platform,James Primate,Adult Swim Games
Raji: An Ancient Epic,Action-adventure,Nodding Heads Games,Super Dot Com
Rally Copters,Racing,Depth First Games,Depth First Games
Randall,Actionplatform,We The Force,We The Force
Rangok Skies,Arcadeshoot 'em up,Samurai Games,Digerati
Raspberry Cube,Adventure,Madosoft,iMeL
Ratchet & Clank,Platform,Insomniac Games,Sony Computer Entertainment
The Raven Remastered,Graphic adventure,King Art Games,THQ Nordic
Rayman Legends,Platform,Ubisoft Montpellier,Ubisoft
Ray's the Dead,Actionpuzzlestrategy,Ragtag Studio,Ragtag Studio
R.B.I. Baseball 14,Sports,Behaviour Interactive,MLB Advanced Media
R.B.I. Baseball 15,Sports,HB Studios,MLB Advanced Media
R.B.I. Baseball 16,Sports,HB Studios,MLB Advanced Media
R.B.I. Baseball 17,Sports,MLB Advanced Media,MLB Advanced Media
R.B.I. Baseball 18,Sports,MLB Advanced Media,MLB Advanced Media
R.B.I. Baseball 19,Sports,MLB Advanced Media,MLB Advanced Media
R.B.I. Baseball 20,Sports,MLB Advanced Media,MLB Advanced Media
R.B.I. Baseball 21,Sports,MLB Advanced Media,MLB Advanced Media
Read Only Memories: Neurodiver,Graphic adventure,MidBoss,Midboss
